GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,com.demo.spring.services,CredentialsService,31,59,3,5,7,13,3,6,1,4
api-gateway,com.demo.spring.dto,CredentialsDTO,0,26,0,0,0,12,0,6,0,6
api-gateway,com.demo.spring.controller,CredentialsController,12,39,0,0,2,6,1,4,1,4
api-gateway,com.demo.spring.entity,Credentials,0,26,0,0,0,12,0,6,0,6
api-gateway,com.demo.spring,ApiGatewayApplication,5,58,0,0,2,7,1,5,1,5
api-gateway,com.demo.spring.exceptions,UserNameExistsException,0,9,0,0,0,2,0,2,0,2
api-gateway,com.demo.spring.exceptions,UserNotFoundException,0,9,0,0,0,2,0,2,0,2
api-gateway,com.demo.spring.util,ServerConfiguration,4,29,0,0,2,11,1,6,1,6
api-gateway,com.demo.spring.util,Message,0,16,0,0,0,8,0,4,0,4
